DateG,DateH,fajr1,fajr2,sunrise,dhuhr1,dhuhr2,asr1,asr2,maghreb1,maghreb2,isha1,isha2
"January 12, 2025","Rajab 12, 1446",6:27 AM,6:35 AM,8:02 AM,12:20 PM,12:45 PM,2:19 PM,3:00 PM,4:38 PM,4:43 PM,6:13 PM,7:30 PM
"January 13, 2025","Rajab 13, 1446",6:26 AM,6:35 AM,8:01 AM,12:20 PM,12:45 PM,2:20 PM,3:00 PM,4:39 PM,4:44 PM,6:15 PM,7:30 PM
"January 14, 2025","Rajab 14, 1446",6:26 AM,6:35 AM,8:01 AM,12:21 PM,12:45 PM,2:21 PM,3:00 PM,4:40 PM,4:45 PM,6:16 PM,7:30 PM
"January 15, 2025","Rajab 15, 1446",6:25 AM,6:35 AM,8:00 AM,12:21 PM,12:45 PM,2:22 PM,3:00 PM,4:42 PM,4:47 PM,6:17 PM,7:30 PM
"January 16, 2025","Rajab 16, 1446",6:25 AM,6:35 AM,7:59 AM,12:22 PM,12:45 PM,2:24 PM,3:00 PM,4:43 PM,4:48 PM,6:18 PM,7:30 PM
"January 17, 2025","Rajab 17, 1446",6:24 AM,6:30 AM,7:58 AM,12:22 PM,12:45 PM,2:25 PM,3:00 PM,4:45 PM,4:50 PM,6:20 PM,7:30 PM
"January 18, 2025","Rajab 18, 1446",6:23 AM,6:30 AM,7:57 AM,12:22 PM,12:45 PM,2:26 PM,3:00 PM,4:46 PM,4:51 PM,6:21 PM,7:30 PM
"January 19, 2025","Rajab 19, 1446",6:23 AM,6:30 AM,7:57 AM,12:22 PM,12:45 PM,2:27 PM,3:00 PM,4:48 PM,4:53 PM,6:22 PM,7:30 PM
"January 20, 2025","Rajab 20, 1446",6:22 AM,6:30 AM,7:56 AM,12:23 PM,12:45 PM,2:29 PM,3:00 PM,4:49 PM,4:54 PM,6:23 PM,7:30 PM
"January 21, 2025","Rajab 21, 1446",6:21 AM,6:30 AM,7:55 AM,12:23 PM,12:45 PM,2:30 PM,3:00 PM,4:51 PM,4:56 PM,6:25 PM,7:30 PM
"January 22, 2025","Rajab 22, 1446",6:20 AM,6:30 AM,7:54 AM,12:23 PM,12:45 PM,2:31 PM,3:00 PM,4:53 PM,4:58 PM,6:26 PM,7:30 PM
"January 23, 2025","Rajab 23, 1446",6:20 AM,6:30 AM,7:52 AM,12:24 PM,12:45 PM,2:33 PM,3:00 PM,4:54 PM,4:59 PM,6:27 PM,7:30 PM
"January 24, 2025","Rajab 24, 1446",6:19 AM,6:30 AM,7:51 AM,12:24 PM,12:45 PM,2:34 PM,3:00 PM,4:56 PM,5:01 PM,6:29 PM,7:30 PM
"January 25, 2025","Rajab 25, 1446",6:18 AM,6:30 AM,7:50 AM,12:24 PM,12:45 PM,2:35 PM,3:00 PM,4:57 PM,5:02 PM,6:30 PM,7:30 PM
"January 26, 2025","Rajab 26, 1446",6:17 AM,6:30 AM,7:49 AM,12:24 PM,12:45 PM,2:37 PM,3:00 PM,4:59 PM,5:04 PM,6:32 PM,7:30 PM
"January 27, 2025","Rajab 27, 1446",6:16 AM,6:30 AM,7:48 AM,12:24 PM,12:45 PM,2:38 PM,3:00 PM,5:01 PM,5:06 PM,6:33 PM,7:30 PM
"January 28, 2025","Rajab 28, 1446",6:15 AM,6:30 AM,7:47 AM,12:25 PM,12:45 PM,2:39 PM,3:00 PM,5:02 PM,5:07 PM,6:34 PM,7:30 PM
"January 29, 2025","Rajab 29, 1446",6:14 AM,6:30 AM,7:45 AM,12:25 PM,12:45 PM,2:41 PM,3:00 PM,5:04 PM,5:09 PM,6:36 PM,7:30 PM
"January 30, 2025","Rajab 30, 1446",6:12 AM,6:30 AM,7:44 AM,12:25 PM,12:45 PM,2:42 PM,3:00 PM,5:06 PM,5:11 PM,6:37 PM,7:30 PM
"January 30, 2025","Shaban 1, 1446",6:11 AM,6:15 AM,7:43 AM,12:25 PM,12:45 PM,2:44 PM,3:15 PM,5:07 PM,5:12 PM,6:39 PM,7:30 PM
"February 1, 2025","Shaban 2, 1446",6:10 AM,6:15 AM,7:41 AM,12:25 PM,12:45 PM,2:45 PM,3:15 PM,5:09 PM,5:14 PM,6:40 PM,7:30 PM
"February 2, 2025","Shaban 3, 1446",6:09 AM,6:15 AM,7:40 AM,12:25 PM,12:45 PM,2:46 PM,3:15 PM,5:11 PM,5:16 PM,6:42 PM,7:30 PM
"February 3, 2025","Shaban 4, 1446",6:08 AM,6:15 AM,7:38 AM,12:25 PM,12:45 PM,2:48 PM,3:15 PM,5:12 PM,5:17 PM,6:43 PM,7:30 PM
"February 4, 2025","Shaban 5, 1446",6:06 AM,6:15 AM,7:37 AM,12:26 PM,12:45 PM,2:49 PM,3:15 PM,5:14 PM,5:19 PM,6:45 PM,7:30 PM
"February 5, 2025","Shaban 6, 1446",6:05 AM,6:15 AM,7:35 AM,12:26 PM,12:45 PM,2:50 PM,3:15 PM,5:16 PM,5:21 PM,6:46 PM,7:30 PM
"February 6, 2025","Shaban 7, 1446",6:04 AM,6:15 AM,7:34 AM,12:26 PM,12:45 PM,2:52 PM,3:15 PM,5:17 PM,5:22 PM,6:48 PM,7:30 PM
"February 7, 2025","Shaban 8, 1446",6:02 AM,6:10 AM,7:32 AM,12:26 PM,12:45 PM,2:53 PM,3:15 PM,5:19 PM,5:24 PM,6:49 PM,7:30 PM
"February 8, 2025","Shaban 9, 1446",6:01 AM,6:10 AM,7:31 AM,12:26 PM,12:45 PM,2:54 PM,3:15 PM,5:21 PM,5:26 PM,6:51 PM,7:30 PM
"February 9, 2025","Shaban 10, 1446",5:59 AM,6:10 AM,7:29 AM,12:26 PM,12:45 PM,2:56 PM,3:15 PM,5:22 PM,5:27 PM,6:52 PM,7:30 PM
"February 10, 2025","Shaban 11, 1446",5:58 AM,6:10 AM,7:27 AM,12:26 PM,12:45 PM,2:57 PM,3:15 PM,5:24 PM,5:29 PM,6:54 PM,7:30 PM
"February 11, 2025","Shaban 12, 1446",5:56 AM,6:10 AM,7:26 AM,12:26 PM,12:45 PM,2:58 PM,3:15 PM,5:26 PM,5:31 PM,6:55 PM,7:30 PM
"February 12, 2025","Shaban 13, 1446",5:55 AM,6:10 AM,7:24 AM,12:26 PM,12:45 PM,3:00 PM,3:15 PM,5:27 PM,5:32 PM,6:57 PM,7:30 PM
"February 13, 2025","Shaban 14, 1446",5:53 AM,6:10 AM,7:22 AM,12:26 PM,12:45 PM,3:01 PM,3:15 PM,5:29 PM,5:34 PM,6:58 PM,7:30 PM
"February 14, 2025","Shaban 15, 1446",5:52 AM,6:00 AM,7:20 AM,12:26 PM,12:45 PM,3:02 PM,3:30 PM,5:31 PM,5:36 PM,7:00 PM,7:30 PM
"February 15, 2025","Shaban 16, 1446",5:50 AM,6:00 AM,7:19 AM,12:26 PM,12:45 PM,3:03 PM,3:30 PM,5:32 PM,5:37 PM,7:01 PM,7:30 PM
"February 16, 2025","Shaban 17, 1446",5:48 AM,6:00 AM,7:17 AM,12:26 PM,12:45 PM,3:05 PM,3:30 PM,5:34 PM,5:39 PM,7:03 PM,7:30 PM
"February 17, 2025","Shaban 18, 1446",5:47 AM,6:00 AM,7:15 AM,12:25 PM,12:45 PM,3:06 PM,3:30 PM,5:36 PM,5:41 PM,7:04 PM,7:30 PM
"February 18, 2025","Shaban 19, 1446",5:45 AM,6:00 AM,7:13 AM,12:25 PM,12:45 PM,3:07 PM,3:30 PM,5:37 PM,5:42 PM,7:06 PM,7:30 PM
"February 19, 2025","Shaban 20, 1446",5:43 AM,6:00 AM,7:11 AM,12:25 PM,12:45 PM,3:09 PM,3:30 PM,5:39 PM,5:44 PM,7:07 PM,7:30 PM
"February 20, 2025","Shaban 21, 1446",5:41 AM,6:00 AM,7:10 AM,12:25 PM,12:45 PM,3:10 PM,3:30 PM,5:41 PM,5:46 PM,7:09 PM,7:30 PM
"February 21, 2025","Shaban 22, 1446",5:40 AM,5:45 AM,7:08 AM,12:25 PM,12:45 PM,3:11 PM,3:30 PM,5:42 PM,5:47 PM,7:10 PM,7:30 PM
"February 22, 2025","Shaban 23, 1446",5:38 AM,5:45 AM,7:06 AM,12:25 PM,12:45 PM,3:12 PM,3:30 PM,5:44 PM,5:49 PM,7:12 PM,7:30 PM
"February 23, 2025","Shaban 24, 1446",5:36 AM,5:45 AM,7:04 AM,12:25 PM,12:45 PM,3:13 PM,3:30 PM,5:46 PM,5:51 PM,7:14 PM,7:30 PM
"February 24, 2025","Shaban 25, 1446",5:34 AM,5:45 AM,7:02 AM,12:25 PM,12:45 PM,3:15 PM,3:30 PM,5:47 PM,5:52 PM,7:15 PM,7:30 PM
"February 25, 2025","Shaban 26, 1446",5:32 AM,5:45 AM,7:00 AM,12:24 PM,12:45 PM,3:16 PM,3:30 PM,5:49 PM,5:54 PM,7:17 PM,7:30 PM
"February 26, 2025","Shaban 27, 1446",5:30 AM,5:45 AM,6:58 AM,12:24 PM,12:45 PM,3:17 PM,3:30 PM,5:50 PM,5:55 PM,7:18 PM,7:30 PM
"February 27, 2025","Shaban 28, 1446",5:28 AM,5:45 AM,6:56 AM,12:24 PM,12:45 PM,3:18 PM,3:30 PM,5:52 PM,5:57 PM,7:20 PM,7:30 PM
"February 28, 2025","Shaban 29, 1446",5:26 AM,5:30 AM,6:54 AM,12:24 PM,12:45 PM,3:19 PM,3:45 PM,5:54 PM,5:59 PM,7:21 PM,7:30 PM
"March 1, 2025","Ramadan 1, 1446",5:24 AM,5:39 AM,6:52 AM,12:24 PM,12:45 PM,3:20 PM,3:45 PM,5:55 PM,6:00 PM,7:23 PM,7:40 PM
"March 2, 2025","Ramadan 2, 1446",5:22 AM,5:37 AM,6:50 AM,12:24 PM,12:45 PM,3:22 PM,3:45 PM,5:57 PM,6:02 PM,7:25 PM,7:40 PM
"March 3, 2025","Ramadan 3, 1446",5:20 AM,5:35 AM,6:48 AM,12:23 PM,12:45 PM,3:23 PM,3:45 PM,5:59 PM,6:04 PM,7:26 PM,7:40 PM
"March 4, 2025","Ramadan 4, 1446",5:18 AM,5:33 AM,6:46 AM,12:23 PM,12:45 PM,3:24 PM,3:45 PM,6:00 PM,6:05 PM,7:28 PM,7:40 PM
"March 5, 2025","Ramadan 5, 1446",5:16 AM,5:31 AM,6:44 AM,12:23 PM,12:45 PM,3:25 PM,3:45 PM,6:02 PM,6:07 PM,7:29 PM,7:40 PM
"March 6, 2025","Ramadan 6, 1446",5:14 AM,5:29 AM,6:42 AM,12:23 PM,12:45 PM,3:26 PM,3:45 PM,6:03 PM,6:08 PM,7:31 PM,7:40 PM
"March 7, 2025","Ramadan 7, 1446",5:12 AM,5:27 AM,6:40 AM,12:22 PM,12:45 PM,3:27 PM,3:45 PM,6:05 PM,6:10 PM,7:33 PM,7:50 PM
"March 8, 2025","Ramadan 8, 1446",5:10 AM,5:25 AM,6:38 AM,12:22 PM,12:45 PM,3:28 PM,3:45 PM,6:07 PM,6:12 PM,7:34 PM,7:50 PM
"March 9, 2025","Ramadan 9, 1446",6:10 AM,6:25 AM,7:38 AM,1:22 PM,1:45 PM,4:28 PM,5:00 PM,7:07 PM,7:12 PM,8:34 PM,8:50 PM
"March 10, 2025","Ramadan 10, 1446",6:08 AM,6:23 AM,7:36 AM,1:22 PM,1:45 PM,4:29 PM,5:00 PM,7:08 PM,7:13 PM,8:36 PM,8:50 PM
"March 11, 2025","Ramadan 11, 1446",6:06 AM,6:21 AM,7:34 AM,1:22 PM,1:45 PM,4:30 PM,5:00 PM,7:10 PM,7:15 PM,8:37 PM,8:50 PM
"March 12, 2025","Ramadan 12, 1446",6:04 AM,6:19 AM,7:31 AM,1:21 PM,1:45 PM,4:31 PM,5:00 PM,7:11 PM,7:16 PM,8:39 PM,8:50 PM
"March 13, 2025","Ramadan 13, 1446",6:02 AM,6:17 AM,7:29 AM,1:21 PM,1:45 PM,4:32 PM,5:00 PM,7:13 PM,7:18 PM,8:41 PM,8:50 PM
"March 14, 2025","Ramadan 14, 1446",5:59 AM,6:14 AM,7:27 AM,1:21 PM,1:45 PM,4:33 PM,5:00 PM,7:14 PM,7:19 PM,8:42 PM,8:55 PM
"March 15, 2025","Ramadan 15, 1446",5:57 AM,6:12 AM,7:25 AM,1:21 PM,1:45 PM,4:34 PM,5:00 PM,7:16 PM,7:21 PM,8:44 PM,8:55 PM
"March 16, 2025","Ramadan 16, 1446",5:55 AM,6:10 AM,7:23 AM,1:20 PM,1:45 PM,4:35 PM,5:00 PM,7:17 PM,7:22 PM,8:46 PM,8:55 PM
"March 17, 2025","Ramadan 17, 1446",5:53 AM,6:08 AM,7:21 AM,1:20 PM,1:45 PM,4:36 PM,5:00 PM,7:19 PM,7:24 PM,8:47 PM,8:55 PM
